LAT,LON,YEAR,MONTH,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,WS2M,TS,EVLAND,GWETROOT
13.5,122.5,1996,FEB,28.84,22.46,2.77,81.49,15.92,6.83,25.55,4.79,0.89
14.5,122.5,1996,FEB,26.95,23.32,4.36,79.98,16.22,7.6,25.83,4.72,0.94
15.5,122.5,1996,FEB,26.59,22.97,2.08,79.4,17.49,7.57,26.09,,
13.5,122.5,1997,FEB,29.07,22.73,5.87,80.2,16.21,5.84,26.43,4.02,0.75
14.5,122.5,1997,FEB,26.9,24.1,5.72,80.92,16.38,6.68,26.14,4.06,0.87
15.5,122.5,1997,FEB,26.33,24.04,2.85,81.02,16.74,6.54,25.79,,
13.5,122.5,1998,FEB,30.38,23.92,0.73,74.87,19.86,3.94,28.39,3.11,0.62
14.5,122.5,1998,FEB,28.59,25.54,1.07,77.82,19.25,4.68,27.72,2.95,0.73
15.5,122.5,1998,FEB,27.42,25.49,0.4,78.39,20.04,4.12,27.38,,
13.5,122.5,1999,FEB,29.27,23.0,6.44,79.93,15.82,7.05,26.01,5.26,0.93
14.5,122.5,1999,FEB,27.21,24.08,6.65,77.68,14.85,7.71,26.35,5.11,0.95
15.5,122.5,1999,FEB,26.95,24.22,2.12,76.18,16.51,7.75,26.86,,
13.5,122.5,2000,FEB,29.45,23.5,10.51,86.72,14.24,5.5,26.08,4.26,0.98
14.5,122.5,2000,FEB,27.21,24.27,12.42,85.21,14.62,6.41,26.4,4.22,0.98
15.5,122.5,2000,FEB,26.98,24.0,6.63,84.06,14.55,6.41,26.53,,
13.5,122.5,2001,FEB,29.25,23.88,9.71,83.09,16.07,5.87,26.79,4.74,0.95
14.5,122.5,2001,FEB,28.59,24.99,9.84,82.68,15.78,6.68,26.78,4.65,0.98
15.5,122.5,2001,FEB,27.7,25.12,4.95,81.97,16.08,7.04,27.02,,
13.5,122.5,2002,FEB,28.71,22.99,3.3,78.33,18.16,5.8,26.0,4.46,0.81
14.5,122.5,2002,FEB,26.84,23.66,3.78,77.55,17.17,6.51,26.11,4.25,0.87
15.5,122.5,2002,FEB,26.83,24.18,1.99,77.01,16.42,6.42,26.48,,
13.5,122.5,2003,FEB,28.99,23.07,1.47,77.36,19.55,5.72,26.36,4.02,0.72
14.5,122.5,2003,FEB,26.88,24.48,2.22,78.37,19.17,6.35,26.51,3.99,0.84
15.5,122.5,2003,FEB,26.69,24.66,0.91,77.68,19.32,6.16,26.67,,
13.5,122.5,2004,FEB,28.81,22.66,3.29,80.69,17.61,5.35,26.35,3.56,0.73
14.5,122.5,2004,FEB,27.51,24.05,7.48,81.41,16.09,5.94,26.25,3.97,0.91
15.5,122.5,2004,FEB,26.62,24.27,4.24,80.99,16.17,5.96,26.34,,
13.5,122.5,2005,FEB,29.66,22.51,2.37,79.74,18.93,4.43,26.66,4.04,0.74
14.5,122.5,2005,FEB,28.15,24.64,2.0,80.31,17.72,5.2,26.41,3.65,0.81
15.5,122.5,2005,FEB,26.65,24.93,0.89,79.95,18.5,4.96,26.31,,
13.5,122.5,2006,FEB,28.96,23.77,5.07,82.91,17.39,5.93,26.3,5.02,0.93
14.5,122.5,2006,FEB,27.4,24.85,5.72,81.22,15.94,6.75,26.44,5.01,0.97
15.5,122.5,2006,FEB,27.28,24.88,2.58,79.88,16.91,6.59,26.62,,
13.5,122.5,2007,FEB,29.39,22.9,1.78,80.5,19.59,4.95,26.36,4.54,0.83
14.5,122.5,2007,FEB,27.76,24.15,1.94,79.64,18.1,5.75,26.56,3.94,0.87
15.5,122.5,2007,FEB,27.43,24.27,0.9,78.84,17.74,5.57,26.91,,
13.5,122.5,2008,FEB,28.64,23.77,18.89,84.86,13.23,6.49,26.13,4.26,0.96
14.5,122.5,2008,FEB,27.47,25.06,18.73,81.79,11.05,7.57,26.75,4.45,0.97
15.5,122.5,2008,FEB,27.42,25.06,7.25,80.2,12.56,7.69,27.26,,
13.5,122.5,2009,FEB,29.01,23.78,7.15,85.15,16.0,5.24,26.21,4.26,0.95
14.5,122.5,2009,FEB,27.7,24.56,8.95,84.07,15.04,5.85,26.2,4.3,0.99
15.5,122.5,2009,FEB,27.76,24.71,4.66,81.72,17.04,5.83,26.57,,
13.5,122.5,2010,FEB,29.48,23.41,0.39,77.94,21.32,3.97,26.99,4.16,0.76
14.5,122.5,2010,FEB,27.46,24.62,0.42,79.93,20.81,4.57,27.0,3.57,0.82
15.5,122.5,2010,FEB,26.97,25.09,0.35,79.61,20.46,3.9,27.12,,
13.5,122.5,2011,FEB,29.25,23.1,7.15,82.8,17.17,5.52,26.02,4.34,0.96
